"","GEOID","NAME","variable","estimate","moe","concept","label"
"106","23005","Cumberland County, Maine","B08601_008",155,92,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool"
"107","23005","Cumberland County, Maine","B08601_009",101,59,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool"
"108","23005","Cumberland County, Maine","B08601_010",2223,351,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)"
"109","23005","Cumberland County, Maine","B08601_011",1960,339,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus"
"110","23005","Cumberland County, Maine","B08601_012",19,21,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)"
"111","23005","Cumberland County, Maine","B08601_013",15,18,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated"
"112","23005","Cumberland County, Maine","B08601_014",0,27,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad"
"113","23005","Cumberland County, Maine","B08601_015",229,86,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat"
"114","23005","Cumberland County, Maine","B08601_016",330,202,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Taxicab"
"115","23005","Cumberland County, Maine","B08601_017",264,103,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Motorcycle"
"116","23005","Cumberland County, Maine","B08601_018",1492,302,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Bicycle"
"117","23005","Cumberland County, Maine","B08601_019",8282,594,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Walked"
"118","23005","Cumberland County, Maine","B08601_020",1068,223,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Other means"
"119","23005","Cumberland County, Maine","B08601_021",11259,672,"MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!Worked at home"
"120","23005","Cumberland County, Maine","B08602_001",175810,2162,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total"
"121","23005","Cumberland County, Maine","B08602_002",5192,502,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!12 00 a.m. to 4 59 a.m."
"122","23005","Cumberland County, Maine","B08602_003",3156,521,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!5 00 a.m. to 5 29 a.m."
"123","23005","Cumberland County, Maine","B08602_004",6582,643,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!5 30 a.m. to 5 59 a.m."
"124","23005","Cumberland County, Maine","B08602_005",9430,600,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!6 00 a.m. to 6 29 a.m."
"125","23005","Cumberland County, Maine","B08602_006",16507,887,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!6 30 a.m. to 6 59 a.m."
"126","23005","Cumberland County, Maine","B08602_007",23214,1105,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!7 00 a.m. to 7 29 a.m."
"127","23005","Cumberland County, Maine","B08602_008",32046,1203,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!7 30 a.m. to 7 59 a.m."
"128","23005","Cumberland County, Maine","B08602_009",24192,1143,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!8 00 a.m. to 8 29 a.m."
"129","23005","Cumberland County, Maine","B08602_010",15151,871,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!8 30 a.m. to 8 59 a.m."
"130","23005","Cumberland County, Maine","B08602_011",12685,726,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!9 00 a.m. to 9 59 a.m."
"131","23005","Cumberland County, Maine","B08602_012",4749,469,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!10 00 a.m. to 10 59 a.m."
"132","23005","Cumberland County, Maine","B08602_013",2617,359,"TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY","Estimate!!Total!!11 00 a.m. to 11 59 a.m."
